This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  5.5290992e+00 0.00e+00 2.44e+02  -0.0 8.00e-01    -  1.00e+00 5.82e-02f  4
 131  6.0820425e+00 0.00e+00 6.34e+01  -0.0 6.65e-02    -  1.00e+00 1.00e+00f  1
 132  6.1144988e+00 0.00e+00 6.05e+01  -0.0 1.06e-01    -  1.00e+00 1.25e-01f  4
 133  6.0837099e+00 0.00e+00 1.32e+02  -0.0 1.98e-01    -  1.00e+00 6.25e-02f  5
 134  6.1382321e+00 0.00e+00 1.29e+02  -0.0 4.19e-02    -  1.00e+00 1.25e-01f  4
 135  6.1953567e+00 0.00e+00 1.26e+01  -0.0 2.06e-02    -  1.00e+00 5.00e-01f  2
 136  6.0438908e+00 0.00e+00 3.21e+01  -0.0 2.16e-01    -  1.00e+00 6.25e-02f  5
 137  6.1774855e+00 0.00e+00 1.80e+01  -0.0 4.23e-02    -  1.00e+00 5.00e-01f  2
 138  6.5532913e+00 0.00e+00 1.05e+01  -0.0 4.81e-02    -  1.00e+00 1.00e+00f  1
 139  6.3403120e+00 0.00e+00 4.77e+01  -0.0 2.11e-01    -  1.00e+00 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  6.2665819e+00 0.00e+00 7.74e+01  -0.0 2.12e-01    -  1.00e+00 1.25e-01f  4
 141  6.1759507e+00 0.00e+00 5.35e+01  -0.0 6.98e-02    -  1.00e+00 5.00e-01f  2
 142  6.1577345e+00 0.00e+00 1.05e+02  -0.0 3.71e-01    -  1.00e+00 1.56e-02f  7
 143  6.0644748e+00 0.00e+00 4.32e+01  -0.0 1.70e-01    -  1.00e+00 1.25e-01f  4
 144  5.5856497e+00 0.00e+00 1.32e+01  -0.0 3.61e-01    -  1.00e+00 1.25e-01f  4
 145  5.4211912e+00 0.00e+00 2.34e+01  -0.0 3.00e-01    -  1.00e+00 2.50e-01f  3
 146  5.3058712e+00 0.00e+00 9.46e+01  -0.0 3.91e-01    -  1.00e+00 6.25e-02f  5
 147  5.0478221e+00 0.00e+00 1.61e+01  -0.0 6.44e-01    -  1.00e+00 6.25e-02f  5
 148  4.8543115e+00 0.00e+00 1.31e+02  -0.0 5.22e-01    -  1.00e+00 1.25e-01f  4
 149  1.2361379e+02 0.00e+00 3.51e+03  -0.0 6.30e-01    -  1.00e+00 1.00e+00w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  5.9407459e+01 0.00e+00 7.85e+02  -0.0 1.66e-01    -  1.00e+00 1.00e+00w  1
 151  1.5217919e+02 0.00e+00 1.56e+03  -0.0 3.71e+00    -  1.47e-01 6.97e-02w  1
 152  4.8454643e+00 0.00e+00 3.79e+01  -0.0 1.21e+01    -  1.00e+00 3.12e-02f  5
 153  4.7424723e+00 0.00e+00 1.38e+02  -0.0 1.90e-01    -  1.00e+00 3.12e-02f  6
 154  4.7058783e+00 0.00e+00 3.21e+01  -0.0 2.34e+01    -  4.23e-02 1.06e-05f 12
 155  4.7023258e+00 0.00e+00 1.89e+01  -0.0 6.34e-05    -  1.00e+00 1.00e+00f  1
 156  4.6990953e+00 0.00e+00 1.70e+01  -0.0 4.46e-05    -  1.00e+00 1.00e+00f  1
 157  4.6869600e+00 0.00e+00 5.25e+01  -0.0 1.93e-03    -  1.00e+00 2.50e-01f  3
 158  4.6779223e+00 0.00e+00 3.52e+01  -0.0 2.35e-04    -  1.00e+00 1.00e+00f  1
